307 1
975 705
1067 629
1106 629
1138 629
1258 629
1494 629
1592 629
1731 1682
1841 1682
1682 813
1864 1682
1893 1682
1983 1682
2171 1682
2216 1682
2376 1764
2549 2376
2633 2376
2793 2376
2902 2376
3256 3234
3369 3234
3469 3234
3480 3474
3642 3474
3732 3474
3860 3760
3868 3760
3977 3922
3996 3922
4062 3922
4255 3937
4336 3937
4394 3937
4607 4554
4642 4554
4698 4554
4814 4727
4983 4965
5099 4965
5406 4965
5436 4965
3760 1758
1853 1758
5813 1758
6286 5958
6415 5958
6653 3281
6890 3281
6983 3281
7145 7113
6064 4746
7393 7334
8139 7883
3335 1814
1814 655
8403 1814
1814 660
8481 6693
8508 6693
8600 6693
7274 6200
8754 8748
8804 8748
8852 8748
8892 643
9068 8892
9195 8892
8892 3219
9589 2622
9611 2622
3278 2622
9661 2622
7277 2622
4328 2622
3375 2622
10068 3940
10171 10068
10068 665
10068 4091
10381 3562
10381 4088
10594 10381
4546 1876
11324 2651
11324 2719
11324 8616
11324 2903
11539 11324
11324 3156
9218 180
11691 180
11891 9151
11944 9151
12021 4956
10965 1255
10965 681
9165 9144
9308 9165
12230 9165
10847 8306
12760 8306
12810 8306
13066 8306
11095 8306
13486 8306
13492 8306
13568 8306
13683 8306
13766 3331
8447 3331
3331 694
3332 3271
13893 3600
14273 1276
14361 1276
14695 14596
14820 14596
15050 2847
15069 9918
12338 11037
12586 11037
12764 11037
15300 11037
13717 11037
15523 267
15829 15599
15599 12111
16380 16367
2013 1926
16808 16799
16911 6306
6891 6306
17395 303
17493 2300
2493 2300
2300 1115
9019 2300
17940 2300
18045 2300
18083 2300
18298 2300
3425 2300
18487 2300
3205 2300
18873 18722
19063 18722
19157 18722
19162 18722
19345 19205
19346 19205
19613 19205
19618 19205
19655 19205
19660 19205
19205 3750
19938 19703
20128 20006
20218 20006
20302 20296
20397 20296
12130 3283
12130 3307
20587 12130
20695 18328
20697 18328
20701 18328
18188 385
9420 2474
9420 9031
9472 9420
9551 9420
9424 9137
12215 9424
9424 9329
8018 2342
21116 2652
21116 1494
21268 21116
6444 5793
21740 14527
14527 14521
22011 18440
22050 18440
18440 8671
1592 1581
1661 1581
1275 453
17969 453
9855 453
2881 453
22427 5927
8393 5932
22555 11294
22952 22777
23076 7101
23130 7101
7101 3319
23199 7101
3472 3341
23439 3472
23616 3876
62 1
69 1
105 1
108 1
118 1
185 1
749 705
1305 629
1484 629
1582 629
1584 629
1694 1682
1727 1682
1869 1682
1682 917
2241 2222
2257 2222
2222 1317
2487 2376
2513 2376
2765 2376
2849 2376
2898 2376
3000 2376
3185 2376
3196 2376
3222 2376
3247 3234
3485 3474
3568 3474
3474 3452
3808 3760
3902 3878
3952 3922
3985 3922
3922 3575
4132 3922
4449 3937
5200 4965
5277 4965
5355 4965
5432 4965
5528 4965
6205 5958
5958 3395
5958 1600
6599 3281
3281 3275
6741 3281
6744 3281
6833 3281
6879 3281
7033 3281
7134 7113
7249 4968
7249 7108
7383 7334
7334 6726
7518 7334
7803 7733
7848 7733
7926 7883
7942 7883
8159 7883
8186 7883
5109 1814
2267 1814
1814 1466
7274 5976
8527 7274
8997 8892
9207 8892
9375 8892
9640 2622
9720 2622
10018 2622
10054 2622
10068 3992
10347 10068
10068 4158
10398 10381
10540 10381
10381 3679
10703 10693
10878 1876
10895 1876
1876 212
11009 1876
11322 1876
11385 11324
11324 2792
11468 11324
11324 3004
11324 3005
3234 180
11640 180
11654 180
11671 180
11773 9151
11851 9151
11901 9151
12118 10965
10965 3029
9165 2448
9165 2586
9165 9137
9214 9165
9515 9165
12436 8306
12470 8306
13016 8306
13219 8306
8306 7318
13520 8306
13530 8306
3331 1473
13846 3600
10474 3600
7300 3600
14359 1276
14527 14372
11248 11000
6050 2799
6238 2799
14621 14596
14674 14596
14996 14596
15069 3283
15069 3569
12756 11037
13015 11037
13017 11037
15457 267
15502 267
15511 267
15555 267
15768 15599
16047 15599
